Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
Limited_Offer_Email_Blast,Email,18600,2220,166.00,182,Active
Vintage_Vibes_Photoshoot,Instagram,51000,1550,760.00,172,Active
Sales_Focused_Ads,Facebook,39000,1080,600.00,94,Active
Target_ROAS_Ads,Google Ads,44000,1320,680.00,115,Active
Daily_Vlog_TikTok,TikTok,97000,4050,600.00,358,Active
B2B_Webinar_Promo,LinkedIn,11500,134,760.00,11,Active
Festive_Season_Sale_Email,Email,20000,2380,178.00,196,Active
Autumn_Aesthetic_Photoshoot,Instagram,53000,1620,780.00,180,Active
Engagement_Optimized_Ads,Facebook,41000,1130,610.00,98,Active
Smart_Shopping_Strategy,Google Ads,48000,1440,710.00,125,Active
Entrepreneur_Webinar_Series,LinkedIn,10500,122,730.00,10,Active
Motivational_Morning_Email,Email,18200,2170,162.00,179,Active
Retro_Style_Photoshoot,Instagram,55000,1680,800.00,186,Active
Performance_Boost_Ads,Facebook,42000,1160,630.00,101,Active
Maximize_Conversion_Value,Google Ads,44000,1320,680.00,115,Active
Day_In_Life_TikTok,TikTok,96000,3950,600.00,353,Active
Corporate_Training_Webinar,LinkedIn,8900,98,680.00,7,Active
Seasonal_Sale_Email_Blast,Email,19400,2310,173.00,190,Active
Vintage_Photoshoot_Campaign,Instagram,48000,1450,720.00,160,Active
Traffic_Increase_Ads,Facebook,39000,1080,590.00,94,Active
Target_CPA_Ads,Google Ads,43000,1290,670.00,113,Active
Creative_Editing_TikTok,TikTok,99000,4200,610.00,365,Active
Professional_Development_Series,LinkedIn,10800,125,730.00,10,Active
Holiday_Gift_Guide_Email,Email,20000,2380,178.00,196,Active
Naturecore_Aesthetic_Campaign,Instagram,52000,1590,780.00,176,Active
